    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4887     -2.0502      4.5016      3.4887  Siess     
    0.105000      3.4911     -2.0175      4.5006      3.4911  Siess     
    0.110000      3.4933     -1.9865      4.4996      3.4933  Siess     
    0.115000      3.4955     -1.9568      4.4987      3.4955  Siess     
    0.120000      3.4975     -1.9283      4.4978      3.4975  Siess     
    0.125000      3.4995     -1.9010      4.4969      3.4995  Siess     
    0.130000      3.5014     -1.8748      4.4961      3.5014  Siess     
    0.135000      3.5031     -1.8523      4.4969      3.5031  Siess     
    0.140000      3.5048     -1.8306      4.4977      3.5048  Siess     
    0.145000      3.5064     -1.8096      4.4985      3.5064  Siess     
    0.150000      3.5080     -1.7894      4.4992      3.5080  Siess     
    0.155000      3.5095     -1.7698      4.4999      3.5095  Siess     
    0.160000      3.5109     -1.7509      4.5006      3.5109  Siess     
    0.165000      3.5124     -1.7329      4.5006      3.5124  Siess     
    0.170000      3.5138     -1.7155      4.5006      3.5138  Siess     
    0.175000      3.5152     -1.6986      4.5007      3.5152  Siess     
    0.180000      3.5166     -1.6821      4.5007      3.5166  Siess     
    0.185000      3.5179     -1.6661      4.5007      3.5179  Siess     
    0.190000      3.5192     -1.6505      4.5007      3.5192  Siess     
    0.195000      3.5204     -1.6353      4.5007      3.5204  Siess     
    0.200000      3.5216     -1.6206      4.5007      3.5216  Siess     
    0.205000      3.5231     -1.6055      4.5007      3.5231  Siess     
    0.210000      3.5245     -1.5907      4.5007      3.5245  Siess     
    0.215000      3.5259     -1.5764      4.5007      3.5259  Siess     
    0.220000      3.5272     -1.5623      4.5007      3.5272  Siess     
    0.225000      3.5286     -1.5486      4.5007      3.5286  Siess     
    0.230000      3.5299     -1.5351      4.5007      3.5299  Siess     
    0.235000      3.5311     -1.5220      4.5007      3.5311  Siess     
    0.240000      3.5324     -1.5091      4.5006      3.5324  Siess     
    0.245000      3.5336     -1.4965      4.5006      3.5336  Siess     
    0.250000      3.5348     -1.4842      4.5006      3.5348  Siess     
