    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4434     -3.0867      5.3300      3.4434  Siess     
    0.105000      3.4515     -3.0052      5.3095      3.4515  Siess     
    0.110000      3.4593     -2.9274      5.2900      3.4593  Siess     
    0.115000      3.4667     -2.8531      5.2714      3.4667  Siess     
    0.120000      3.4738     -2.7820      5.2536      3.4738  Siess     
    0.125000      3.4806     -2.7138      5.2364      3.4806  Siess     
    0.130000      3.4871     -2.6482      5.2200      3.4871  Siess     
    0.135000      3.4902     -2.6067      5.2091      3.4902  Siess     
    0.140000      3.4932     -2.5668      5.1986      3.4932  Siess     
    0.145000      3.4961     -2.5282      5.1884      3.4961  Siess     
    0.150000      3.4989     -2.4909      5.1786      3.4989  Siess     
    0.155000      3.5016     -2.4549      5.1692      3.5016  Siess     
    0.160000      3.5042     -2.4200      5.1600      3.5042  Siess     
    0.165000      3.5062     -2.3914      5.1517      3.5062  Siess     
    0.170000      3.5082     -2.3636      5.1437      3.5082  Siess     
    0.175000      3.5102     -2.3367      5.1359      3.5102  Siess     
    0.180000      3.5120     -2.3105      5.1283      3.5120  Siess     
    0.185000      3.5139     -2.2850      5.1210      3.5139  Siess     
    0.190000      3.5156     -2.2602      5.1138      3.5156  Siess     
    0.195000      3.5174     -2.2360      5.1068      3.5174  Siess     
    0.200000      3.5190     -2.2125      5.1000      3.5190  Siess     
    0.205000      3.5213     -2.1881      5.0934      3.5213  Siess     
    0.210000      3.5236     -2.1643      5.0869      3.5236  Siess     
    0.215000      3.5257     -2.1410      5.0806      3.5257  Siess     
    0.220000      3.5279     -2.1183      5.0744      3.5279  Siess     
    0.225000      3.5299     -2.0961      5.0683      3.5299  Siess     
    0.230000      3.5320     -2.0744      5.0624      3.5320  Siess     
    0.235000      3.5340     -2.0531      5.0566      3.5340  Siess     
    0.240000      3.5359     -2.0323      5.0510      3.5359  Siess     
    0.245000      3.5378     -2.0120      5.0454      3.5378  Siess     
    0.250000      3.5397     -1.9920      5.0400      3.5397  Siess     
    0.255000      3.5411     -1.9740      5.0346      3.5411  Siess     
    0.260000      3.5424     -1.9564      5.0292      3.5424  Siess     
    0.265000      3.5437     -1.9391      5.0240      3.5437  Siess     
    0.270000      3.5450     -1.9222      5.0189      3.5450  Siess     
    0.275000      3.5463     -1.9055      5.0139      3.5463  Siess     
    0.280000      3.5475     -1.8892      5.0089      3.5475  Siess     
    0.285000      3.5488     -1.8731      5.0041      3.5488  Siess     
    0.290000      3.5500     -1.8573      4.9993      3.5500  Siess     
    0.295000      3.5511     -1.8418      4.9946      3.5511  Siess     
    0.300000      3.5523     -1.8266      4.9900      3.5523  Siess     
    0.305000      3.5533     -1.8113      4.9866      3.5533  Siess     
    0.310000      3.5543     -1.7963      4.9832      3.5543  Siess     
    0.315000      3.5553     -1.7816      4.9798      3.5553  Siess     
    0.320000      3.5562     -1.7670      4.9765      3.5562  Siess     
    0.325000      3.5572     -1.7527      4.9733      3.5572  Siess     
    0.330000      3.5581     -1.7386      4.9701      3.5581  Siess     
    0.335000      3.5590     -1.7248      4.9670      3.5590  Siess     
    0.340000      3.5599     -1.7111      4.9639      3.5599  Siess     
    0.345000      3.5608     -1.6976      4.9609      3.5608  Siess     
    0.350000      3.5616     -1.6844      4.9578      3.5616  Siess     
    0.355000      3.5625     -1.6713      4.9549      3.5625  Siess     
    0.360000      3.5633     -1.6584      4.9520      3.5633  Siess     
    0.365000      3.5642     -1.6456      4.9491      3.5642  Siess     
    0.370000      3.5650     -1.6331      4.9463      3.5650  Siess     
    0.375000      3.5658     -1.6207      4.9435      3.5658  Siess     
    0.380000      3.5666     -1.6085      4.9407      3.5666  Siess     
    0.385000      3.5674     -1.5964      4.9380      3.5674  Siess     
    0.390000      3.5682     -1.5845      4.9353      3.5682  Siess     
    0.395000      3.5690     -1.5728      4.9326      3.5690  Siess     
    0.400000      3.5697     -1.5612      4.9300      3.5697  Siess     
    0.405000      3.5703     -1.5490      4.9267      3.5703  Siess     
    0.410000      3.5710     -1.5370      4.9234      3.5710  Siess     
    0.415000      3.5716     -1.5251      4.9201      3.5716  Siess     
    0.420000      3.5722     -1.5134      4.9169      3.5722  Siess     
    0.425000      3.5728     -1.5018      4.9137      3.5728  Siess     
    0.430000      3.5734     -1.4904      4.9106      3.5734  Siess     
    0.435000      3.5739     -1.4790      4.9074      3.5739  Siess     
    0.440000      3.5745     -1.4678      4.9044      3.5745  Siess     
    0.445000      3.5751     -1.4568      4.9013      3.5751  Siess     
    0.450000      3.5756     -1.4458      4.8983      3.5756  Siess     
    0.455000      3.5762     -1.4350      4.8954      3.5762  Siess     
    0.460000      3.5767     -1.4243      4.8924      3.5767  Siess     
    0.465000      3.5773     -1.4137      4.8895      3.5773  Siess     
    0.470000      3.5778     -1.4033      4.8866      3.5778  Siess     
    0.475000      3.5784     -1.3929      4.8838      3.5784  Siess     
    0.480000      3.5789     -1.3827      4.8810      3.5789  Siess     
    0.485000      3.5794     -1.3725      4.8782      3.5794  Siess     
    0.490000      3.5799     -1.3625      4.8754      3.5799  Siess     
    0.495000      3.5804     -1.3525      4.8727      3.5804  Siess     
    0.500000      3.5809     -1.3427      4.8700      3.5809  Siess     
    0.505000      3.5820     -1.3292      4.8656      3.5820  Siess     
    0.510000      3.5830     -1.3159      4.8613      3.5830  Siess     
    0.515000      3.5840     -1.3027      4.8570      3.5840  Siess     
    0.520000      3.5851     -1.2897      4.8528      3.5851  Siess     
    0.525000      3.5861     -1.2767      4.8486      3.5861  Siess     
    0.530000      3.5871     -1.2639      4.8444      3.5871  Siess     
    0.535000      3.5880     -1.2512      4.8403      3.5880  Siess     
    0.540000      3.5890     -1.2386      4.8362      3.5890  Siess     
    0.545000      3.5900     -1.2262      4.8322      3.5900  Siess     
    0.550000      3.5910     -1.2138      4.8282      3.5910  Siess     
    0.555000      3.5919     -1.2016      4.8242      3.5919  Siess     
    0.560000      3.5929     -1.1895      4.8203      3.5929  Siess     
    0.565000      3.5938     -1.1775      4.8164      3.5938  Siess     
    0.570000      3.5947     -1.1655      4.8125      3.5947  Siess     
    0.575000      3.5956     -1.1537      4.8087      3.5956  Siess     
    0.580000      3.5965     -1.1420      4.8049      3.5965  Siess     
    0.585000      3.5974     -1.1304      4.8011      3.5974  Siess     
    0.590000      3.5983     -1.1189      4.7974      3.5983  Siess     
    0.595000      3.5992     -1.1075      4.7937      3.5992  Siess     
    0.600000      3.6001     -1.0962      4.7900      3.6001  Siess     
    0.605000      3.6018     -1.0827      4.7846      3.6018  Siess     
    0.610000      3.6034     -1.0694      4.7793      3.6034  Siess     
    0.615000      3.6051     -1.0561      4.7740      3.6051  Siess     
    0.620000      3.6067     -1.0430      4.7687      3.6067  Siess     
    0.625000      3.6083     -1.0300      4.7635      3.6083  Siess     
    0.630000      3.6099     -1.0171      4.7583      3.6099  Siess     
    0.635000      3.6115     -1.0042      4.7532      3.6115  Siess     
    0.640000      3.6131     -0.9915      4.7481      3.6131  Siess     
    0.645000      3.6146     -0.9789      4.7431      3.6146  Siess     
    0.650000      3.6162     -0.9664      4.7381      3.6162  Siess     
    0.655000      3.6177     -0.9539      4.7331      3.6177  Siess     
    0.660000      3.6192     -0.9416      4.7282      3.6192  Siess     
    0.665000      3.6207     -0.9293      4.7233      3.6207  Siess     
    0.670000      3.6222     -0.9172      4.7184      3.6222  Siess     
    0.675000      3.6237     -0.9051      4.7136      3.6237  Siess     
    0.680000      3.6252     -0.8932      4.7088      3.6252  Siess     
    0.685000      3.6267     -0.8813      4.7041      3.6267  Siess     
    0.690000      3.6282     -0.8695      4.6993      3.6282  Siess     
    0.695000      3.6296     -0.8578      4.6947      3.6296  Siess     
    0.700000      3.6310     -0.8461      4.6900      3.6310  Siess     
