    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4656     -1.0477      3.3666      3.4656  Siess     
    0.105000      3.4678     -1.0297      3.3778      3.4678  Siess     
    0.110000      3.4698     -1.0125      3.3885      3.4698  Siess     
    0.115000      3.4717     -0.9960      3.3987      3.4717  Siess     
    0.120000      3.4736     -0.9803      3.4085      3.4736  Siess     
    0.125000      3.4753     -0.9652      3.4178      3.4753  Siess     
    0.130000      3.4770     -0.9506      3.4268      3.4770  Siess     
    0.135000      3.4784     -0.9285      3.4274      3.4784  Siess     
    0.140000      3.4798     -0.9071      3.4279      3.4798  Siess     
    0.145000      3.4811     -0.8865      3.4284      3.4811  Siess     
    0.150000      3.4823     -0.8665      3.4289      3.4823  Siess     
    0.155000      3.4835     -0.8473      3.4294      3.4835  Siess     
    0.160000      3.4847     -0.8286      3.4298      3.4847  Siess     
    0.165000      3.4850     -0.7840      3.3981      3.4850  Siess     
    0.170000      3.4854     -0.7406      3.3674      3.4854  Siess     
    0.175000      3.4857     -0.6986      3.3375      3.4857  Siess     
    0.180000      3.4860     -0.6577      3.3085      3.4860  Siess     
    0.185000      3.4863     -0.6179      3.2803      3.4863  Siess     
    0.190000      3.4865     -0.5792      3.2528      3.4865  Siess     
    0.195000      3.4868     -0.5415      3.2261      3.4868  Siess     
    0.200000      3.4871     -0.5048      3.2000      3.4871  Siess     
    0.205000      3.4893     -0.4921      3.2066      3.4893  Siess     
    0.210000      3.4916     -0.4798      3.2131      3.4916  Siess     
    0.215000      3.4937     -0.4678      3.2194      3.4937  Siess     
    0.220000      3.4958     -0.4561      3.2256      3.4958  Siess     
    0.225000      3.4979     -0.4446      3.2317      3.4979  Siess     
    0.230000      3.4999     -0.4333      3.2376      3.4999  Siess     
    0.235000      3.5019     -0.4224      3.2434      3.5019  Siess     
    0.240000      3.5038     -0.4116      3.2490      3.5038  Siess     
    0.245000      3.5057     -0.4011      3.2546      3.5057  Siess     
    0.250000      3.5076     -0.3907      3.2600      3.5076  Siess     
    0.255000      3.5097     -0.3602      3.2469      3.5097  Siess     
    0.260000      3.5117     -0.3302      3.2341      3.5117  Siess     
    0.265000      3.5137     -0.3008      3.2215      3.5137  Siess     
    0.270000      3.5156     -0.2720      3.2092      3.5156  Siess     
    0.275000      3.5175     -0.2437      3.1971      3.5175  Siess     
    0.280000      3.5194     -0.2159      3.1852      3.5194  Siess     
    0.285000      3.5212     -0.1886      3.1735      3.5212  Siess     
    0.290000      3.5231     -0.1618      3.1621      3.5231  Siess     
    0.295000      3.5248     -0.1354      3.1508      3.5248  Siess     
    0.300000      3.5266     -0.1095      3.1397      3.5266  Siess     
    0.305000      3.5283     -0.0963      3.1403      3.5283  Siess     
    0.310000      3.5300     -0.0833      3.1409      3.5300  Siess     
    0.315000      3.5316     -0.0705      3.1414      3.5316  Siess     
    0.320000      3.5333     -0.0579      3.1420      3.5333  Siess     
    0.325000      3.5349     -0.0455      3.1426      3.5349  Siess     
    0.330000      3.5364     -0.0333      3.1431      3.5364  Siess     
    0.335000      3.5380     -0.0212      3.1436      3.5380  Siess     
    0.340000      3.5395     -0.0094      3.1442      3.5395  Siess     
    0.345000      3.5410      0.0023      3.1447      3.5410  Siess     
    0.350000      3.5425      0.0138      3.1452      3.5425  Siess     
    0.355000      3.5440      0.0251      3.1457      3.5440  Siess     
    0.360000      3.5454      0.0363      3.1462      3.5454  Siess     
    0.365000      3.5468      0.0473      3.1467      3.5468  Siess     
    0.370000      3.5483      0.0582      3.1472      3.5483  Siess     
    0.375000      3.5496      0.0689      3.1477      3.5496  Siess     
    0.380000      3.5510      0.0795      3.1482      3.5510  Siess     
    0.385000      3.5524      0.0900      3.1486      3.5524  Siess     
    0.390000      3.5537      0.1003      3.1491      3.5537  Siess     
    0.395000      3.5550      0.1105      3.1495      3.5550  Siess     
    0.400000      3.5563      0.1205      3.1500      3.5563  Siess     
    0.405000      3.5575      0.1220      3.1586      3.5575  Siess     
    0.410000      3.5586      0.1235      3.1670      3.5586  Siess     
    0.415000      3.5597      0.1250      3.1753      3.5597  Siess     
    0.420000      3.5608      0.1265      3.1836      3.5608  Siess     
    0.425000      3.5619      0.1279      3.1917      3.5619  Siess     
    0.430000      3.5630      0.1293      3.1998      3.5630  Siess     
    0.435000      3.5641      0.1308      3.2078      3.5641  Siess     
    0.440000      3.5651      0.1321      3.2156      3.5651  Siess     
    0.445000      3.5662      0.1335      3.2234      3.5662  Siess     
    0.450000      3.5672      0.1349      3.2311      3.5672  Siess     
    0.455000      3.5682      0.1362      3.2387      3.5682  Siess     
    0.460000      3.5693      0.1376      3.2462      3.5693  Siess     
